contentID,headline,categories
www.arkansasonline.com/news/2018/aug/23/sheriffs-office-dad-accidentally-kills-14-year-old/,"14-year-old dies days after being accidentally shot by father at Arkansas home, authorities say","/News, /News/Arkansas, /News/Arkansas/Southeast  "
www.arkansasonline.com/news/2018/aug/25/woods-impresses-despite-stumbles-201808-1/,Woods impresses despite stumbles,"/Sports, /Sports/College/Football, /Sports/College/Razorbacks/Razobacks-College-Football, /Sports/College/Razorbacks/Razobacks-College-Latest  "
www.arkansasonline.com/news/2018/aug/25/newton-has-injury-scare-panthers-win-20/,Newton has injury scare; Panthers win,"/Sports, /Sports/Pros/Football  "
www.arkansasonline.com/news/2018/aug/24/arkansas-man-accidentally-shoots-mother-while-beat/,"North Little Rock man accidentally shoots mother while beating girlfriend, police say","None/Nlr, /News, /News/Arkansas, /News/Arkansas/Central, /News/Arkansas/Crime  "
www.arkansasonline.com/news/2018/aug/25/wolverines-depending-on-ex-ole-miss-qb-/,Wolverines depending on ex-Ole Miss QB Patterson,"/Sports, /Sports/College/Football  "
www.arkansasonline.com/news/2018/sep/06/health-coverage-dropped-for-4-574-20180/,"Health coverage dropped for 4,574","/News/Arkansas, /News/Healthcare  "
www.arkansasonline.com/news/2018/sep/06/police-respond-active-shooter-downtown-cincinnati/,Multiple injuries in downtown Cincinnati bank shooting,/News/National  
www.arkansasonline.com/news/2018/jul/12/attacked-in-lot-admitted-shooter-states/,"Attacked in lot, admitted shooter states",/News/Arkansas  
www.arkansasonline.com/news/2018/sep/04/colin-kaepernick-has-new-deal-nike-though-hes-not-/,Colin Kaepernick has new deal with Nike though he's not in NFL,"/Sports/Pros/Football/Sports/Team Sports/American Football, /News/Sports News/Sports/Team Sports/American Football, /News/Sports News"
www.arkansasonline.com/news/2018/sep/18/supreme-court-nominees-showdown-hearing-not-set-ye/,"Supreme Court nominee's showdown hearing not set yet; Democrats, GOP arguing on witnesses","/News/National, /News/Politics/National  "
www.arkansasonline.com/news/2018/sep/04/latest-hearing-underway-us-supreme-court-nominee-k/,LATEST: Democrats call for delay to Kavanaugh hearing,/News/National  
www.arkansasonline.com/news/2018/jul/05/college-station-back-in-the-game-201807/,College Station back in the game,/News/Arkansas  
